"가구별일련번호","가구구분코드","노인가구여부","가구주_연령","주택소유유무","소득"
00118,1,0,43,2,2125000
00118,1,0,59,1,5500000
00118,2,0,30,2,3800000
00119,1,0,39,1,6199000
00119,1,0,50,1,5158487
00119,2,0,42,1,6550133
00119,2,0,52,2,2768537
00120,1,0,26,2,4157915
00120,1,0,47,1,4250000
00120,1,1,70,1,2829700
00120,2,0,34,2,703333
00121,1,0,33,2,3241680
00121,1,0,58,1,5500000
00121,2,0,38,2,4454775
00121,2,0,46,1,8100000
00122,1,0,33,2,2500000
00122,1,0,62,1,2450000
00122,2,0,42,1,5966800
00122,2,0,52,1,5000000
00123,1,0,48,1,4224000
00123,1,0,57,1,2320267
00123,1,0,57,1,3348563
00123,2,0,26,2,1500000
00124,2,0,33,2,1130000
00124,2,0,48,1,4360000
00124,2,0,48,1,4530647
00124,2,0,48,1,6273840
00125,1,0,33,1,3869301
00125,1,0,59,1,5500000
00125,2,1,78,1,678780
00125,2,1,78,1,713780
00126,1,0,42,2,2110000
00126,1,0,42,2,2395000
00126,1,0,61,1,2500000
00126,2,0,42,1,5704210
00127,1,0,60,1,9576945
00127,2,0,33,2,1933333
00127,2,0,34,2,500000
00127,2,0,67,2,2427380
00128,1,0,60,2,10048690
00128,1,0,67,1,7700000
00128,2,0,33,2,1315984
00128,2,0,39,2,4831052
00129,1,0,51,2,4054534
00129,1,0,54,1,7257510
00129,1,0,63,1,2450000
00129,2,0,31,2,3533333
00130,1,0,52,2,4530628
00130,1,0,60,1,8509452
00130,2,0,52,2,2830000
00130,2,0,57,2,706518
00131,1,0,60,2,10032667
00131,2,0,31,2,3380883
00131,2,0,58,2,1021292
00131,2,1,83,2,388080
00132,1,0,58,1,3360000
00132,1,1,76,2,1692191
00132,2,1,66,2,845705
00132,2,1,83,2,561413
00133,1,0,52,2,2398500
00133,2,0,49,1,4134000
00133,2,1,66,2,1312900
00133,2,1,68,2,440000
00134,1,0,48,2,2231065
00134,2,1,68,2,1040000
00134,2,1,79,1,3304820
00134,2,1,83,2,328080
00135,1,0,43,2,2230000
00135,2,1,66,2,832270
00135,2,1,72,2,414633
00135,2,1,86,2,763793
00136,1,0,60,1,9232390
00136,2,0,52,2,813333
00136,2,1,69,2,740000
00136,2,1,86,2,430460
00137,1,0,27,2,2994167
00137,1,0,28,2,4061167
00137,1,0,60,2,10054690
00137,1,0,68,1,3048850
00138,1,0,30,2,5678567
00138,1,1,67,2,2016667
00138,1,1,76,2,1191496
00138,2,0,35,2,200000
00139,1,0,42,2,4752393
00139,1,0,53,2,3380000
00139,2,0,29,2,1553333
00139,2,0,38,2,3000000
00140,1,0,28,2,4061167
00140,1,0,38,2,4341783
00140,1,0,46,2,2350760
00140,2,1,71,1,2192200
00141,1,0,27,2,2775870
00141,1,0,30,2,5954042
00141,2,0,28,2,1752855
00141,2,0,32,2,266667
00142,2,0,29,2,1200000
00142,2,0,39,2,3233333
00142,2,1,67,2,736260
00142,2,1,86,2,430460
00143,1,0,39,2,4550000
00143,1,0,46,2,2375577
00143,1,0,50,2,3429760
00143,2,0,52,2,0
00144,1,0,68,1,4648013
00144,2,0,28,2,1731258
00144,2,0,32,2,450000
00144,2,0,63,2,1600000
00145,1,0,63,2,2510260
00145,1,1,68,2,1483333
00145,2,0,30,2,1481800
00145,2,0,58,2,3133333
00146,1,0,42,2,5479318
00146,2,0,40,2,4945805
00146,2,1,72,2,1191450
00146,2,1,88,2,483747
00147,1,0,35,2,3135803
00147,2,0,41,2,460240
00147,2,0,65,1,2897683
00147,2,1,71,1,1843867
00148,1,0,47,2,4000000
00148,1,0,58,2,1400000
00148,1,0,78,1,1480000
00148,2,0,60,2,2100000
00149,1,0,36,1,4654760
00149,1,0,56,2,1950000
00149,1,0,63,2,2585993
00149,2,0,41,2,5090000
00150,1,0,35,2,2848869
00150,1,0,63,2,2285260
00150,2,0,42,2,6749370
00150,2,1,72,2,1957633
00151,1,0,33,2,10839340
00151,1,0,41,2,844140
00151,2,0,60,2,1000000
00151,2,1,72,2,1491450
00152,1,0,41,2,1298410
00152,1,0,44,2,10224488
00152,1,0,47,2,4000000
00152,1,0,56,2,2083333
00153,1,0,48,2,4150000
00153,1,1,73,1,3269270
00153,2,0,43,2,6992500
00153,2,0,49,2,2766667
00154,1,0,22,2,2182019
00154,1,0,37,1,4572967
00154,1,0,58,1,2400000
00154,2,1,71,2,1551333
00155,1,0,42,1,8763810
00155,1,1,65,2,1244710
00155,2,0,42,2,0
00155,2,1,68,1,3000000
00156,1,0,37,1,4306800
00156,2,0,68,1,3406667
00156,2,1,68,2,988461
00156,2,1,72,1,2250000
00157,1,0,67,1,3660850
00157,2,0,26,2,2900123
00157,2,0,64,2,500000
00157,2,1,68,2,853040
00158,1,0,56,2,3186420
00158,2,0,54,2,2723620
00158,2,1,66,1,1891520
00158,2,1,76,1,1854480
00159,1,0,31,2,2890100
00159,2,0,26,2,2181650
00159,2,0,43,2,6400000
00159,2,0,49,2,1833333
00160,1,0,42,2,3243333
00160,1,0,44,2,12554324
00160,2,0,54,2,500000
00160,2,1,72,2,1550500
00161,1,0,31,2,3250470
00161,1,1,66,2,1254620
00161,2,0,28,2,349313
00161,2,0,69,1,3140000
00162,1,0,23,2,1716250
00162,1,0,43,2,3780000
00162,1,0,67,1,4280348
00162,2,1,68,2,733465
00163,1,0,39,2,3600000
00163,2,0,28,2,537980
00163,2,0,64,2,1653333
00163,2,1,66,1,1991520
00164,1,0,27,2,1477395
00164,1,0,45,2,7854886
00164,2,0,24,2,1480050
00164,2,0,49,1,3616667
00165,1,0,27,2,2485652
00165,1,0,36,1,19193528
00165,1,0,36,2,5253913
00165,1,1,74,1,3274350
00166,1,0,26,2,4679130
00166,1,0,36,2,6175846
00166,1,0,44,1,6557160
00166,1,1,68,1,3000000
00167,1,0,26,2,5180435
00167,1,0,30,2,2286097
00167,1,0,37,1,4507720
00167,2,0,27,2,2566571
00168,1,0,30,2,2402550
00168,1,0,35,2,11840499
00168,2,0,55,2,402295
00168,2,1,90,1,2411740
00169,1,0,35,2,10256539
00169,1,0,42,2,7891557
00169,1,0,43,2,3580000
00169,2,0,35,2,556730
00170,1,0,27,2,4803185
00170,1,0,30,2,3711538
00170,2,0,34,2,100000
00170,2,1,76,1,2743293
00171,1,0,25,2,3245320
00171,1,0,27,2,5877280
00171,1,0,36,1,19616815
00171,1,0,63,1,2661350
00172,1,0,24,2,2150000
00172,1,0,53,1,3766623
00172,1,0,65,1,8501325
00172,2,0,49,1,4083333
00173,1,0,27,2,1709970
00173,1,0,36,1,18743831
00173,1,0,70,1,10886940
00173,2,0,64,1,4543583
00174,1,0,27,1,3482653
